iter	Passed	Remaining
619	1963454	1203407
620	1966342	1200070
621	1968860	1196510
622	1972534	1193652
623	1976249	1190817
624	1979476	1187685
625	1981777	1184001
626	1984813	1180758
627	1988110	1177670
628	1990494	1174043
629	1993779	1170949
630	1996270	1167391
631	1999533	1164285
632	2002115	1160784
633	2005352	1157664
634	2009056	1154812
635	2012835	1152000
636	2015670	1148647
637	2018010	1145015
638	2021412	1141987
639	2024075	1138542
640	2027064	1135282
641	2030278	1132148
642	2032695	1128572
643	2035903	1125437
644	2038879	1122173
645	2041319	1118617
646	2044912	1115694
647	2048530	1112781
648	2052200	1109895
649	2054599	1106322
650	2057714	1103137
651	2060770	1099920
652	2063257	1096401
653	2066663	1093372
654	2069473	1090027
655	2072504	1086801
656	2075736	1083679
657	2078354	1080238
658	2081808	1077233
659	2084498	1073832
660	2088055	1070878
661	2091749	1067993
662	2095497	1065132
663	2098180	1061729
664	2100795	1058295
665	2104208	1055263
666	2106883	1051862
667	2109686	1048526
668	2112916	1045404
669	2115310	1041869
670	2118823	1038886
671	2122563	1036013
672	2126067	1033022
673	2128463	1029493
674	2131521	1026288
675	2134374	1022984
676	2136903	1019527
677	2140294	1016482
678	2142835	1013034
679	2146171	1009963
680	2149879	1007065
681	2153619	1004180
682	2156135	1000724
683	2158916	997394
684	2161948	994180
685	2164687	990833
686	2168018	987758
687	2170863	984461
688	2173555	981096
689	2177026	978084
690	2179646	974689
691	2182462	971385
692	2186124	968456
693	2189748	965508
694	2193052	962418
695	2195444	958929
696	2198791	955858
697	2201664	952582
698	2204086	949113
699	2207378	946019
700	2210095	942679
701	2212688	939289
702	2215964	936189
703	2218541	932795
704	2221637	929621
705	2225491	926762
706	2229222	923850
707	2232411	920711
708	2234810	917249
709	2238160	914178
710	2240540	910711
711	2243489	907478
712	2246713	904357
713	2249185	900934
714	2252422	897818
715	2256067	894864
716	2259666	891890
717	2262445	888592
718	2264811	885135
719	2268053	882020
720	2270827	878725
721	2273875	875536
722	2276996	872376
723	2279413	868947
724	2282704	865853
725	2286462	862934
726	2290014	859936
727	2292331	856475
728	2295376	853287
729	2298374	850083
730	2300970	846731
731	2304315	843656
732	2307017	840346
733	2309854	837086
734	2313163	833997
735	2315658	830616
736	2318856	827488
737	2321812	824274
738	2324321	820903
739	2327666	817828
740	2330222	814477
741	2333498	811378
742	2337175	808417
743	2340888	805467
744	2344058	802328
745	2346424	798916
746	2349693	795813
747	2352194	792450
748	2355004	789193
749	2358364	786121
750	2360804	782743
751	2363790	779547
752	2366928	776402
753	2369623	773113
754	2373034	770057
755	2375842	766806
756	2379322	763772
757	2383327	760903
758	2387204	757992
759	2390298	754831
760	2393117	751583
761	2396610	748547
762	2399090	745195
763	2402011	741982
764	2405263	738871
765	2407767	735532
766	2410976	732408
767	2413692	729136
768	2416526	725900
769	2419658	722755
770	2422201	719434
771	2425880	716451
772	2429639	713490
773	2433449	710542
774	2435916	707201
775	2438651	703940
776	2441751	700785
777	2444428	697510
778	2447772	694425
779	2450269	691101
780	2453113	687876
781	2456170	684712
782	2458718	681407
783	2462407	678418
784	2466160	675445
785	2469665	672402
786	2472089	669066
787	2474939	665846
788	2477973	662677
789	2480503	659374
790	2484010	656331
791	2486536	653029
792	2489698	649896
793	2492618	646699
794	2495122	643396
795	2498761	640386
796	2502487	637396
797	2505999	634350
798	2508671	631092
799	2512195	628048
800	2514919	624805
801	2518241	621710
802	2521331	618558
803	2523932	615287
804	2527296	612202
805	2530109	608984
806	2532982	605781
807	2536069	602630
808	2538583	599344
809	2541960	596262
810	2544548	592995
811	2547885	589904
812	2551694	586921
813	2555485	583931
814	2558396	580740
815	2560853	577447
816	2564194	574354
817	2566863	571111
818	2569842	567938
819	2572964	564797
820	2575557	561540
821	2578820	558430
822	2581806	555260
823	2584484	552025
824	2587884	548945
825	2590625	545724
826	2593545	542543
827	2597257	539526
828	2601042	536523
829	2604133	533376
830	2606567	530096
831	2609980	527015
832	2612673	523789
833	2615463	520583
834	2618541	517436
835	2621140	514195
836	2624578	511118
837	2627152	507874
838	2630036	504691
839	2633324	501585
840	2635819	498329
841	2638916	495188
842	2642135	492070
843	2644697	488830
844	2647967	485721
845	2651766	482709
846	2655356	479656
847	2658434	476511
848	2660830	473245
849	2664159	470145
850	2666985	466957
851	2669700	463750
852	2673264	460691
853	2675963	457483
854	2679045	454341
855	2681800	451144
856	2684748	447980
857	2687607	444802
858	2690113	441566
859	2693911	438543
860	2697815	435535
861	2701407	432475
862	2703845	429231
863	2706673	426050
864	2709932	422937
865	2712360	419695
866	2715484	416562
867	2718675	413439
868	2721198	410215
869	2724503	407109
870	2727178	403910
871	2730117	400751
872	2733339	397633
873	2735811	394407
874	2738933	391276
875	2741666	388089
876	2745040	384994
877	2748656	381931
878	2752261	378866
879	2755341	375728
880	2757780	372503
881	2761040	369390
882	2763719	366200
883	2766245	362991
884	2769609	359892
885	2772201	356694
886	2775008	353524
887	2778429	350432
888	2780925	347224
889	2783921	344080
890	2786987	340944
891	2789589	337753
892	2792949	334653
893	2796658	331594
894	2800277	328524
895	2803286	325381
896	2805676	322167
897	2808902	319051
898	2811545	315868
899	2814456	312717
900	2817548	309586
901	2820061	306392
902	2823347	303283
903	2826175	300124
904	2828813	296947
905	2832118	293840
906	2834853	290674
907	2838022	287552
908	2841709	284483
909	2845301	281403
910	2848544	278288
911	2850995	275096
912	2854158	271973
913	2856780	268799
914	2859445	265631
915	2862913	262537
916	2865447	259358
917	2868294	256209
918	2871329	253076
919	2873870	249901
920	2877209	246796
921	2879916	243637
922	2882984	240508
923	2886764	237439
924	2890468	234362
925	2893694	231245
926	2896098	228063
927	2899394	224952
928	2902096	221796
929	2904698	218633
930	2908147	215534
931	2911012	212391
932	2913919	209252
933	2917271	206145
934	2919753	202977
935	2922885	199855
936	2925733	196714
937	2928494	193567
938	2932286	190489
939	2935999	187404
940	2939363	184295
941	2941747	181126
942	2944685	177992
943	2947774	174867
944	2950369	171714
945	2953782	168609
946	2956481	165463
947	2959342	162326
948	2962653	159215
949	2965105	156058
950	2968310	152941
951	2971025	149799
952	2974112	146677
953	2977836	143585
954	2981558	140492
955	2984712	137371
956	2987099	134216
957	2990385	131102
958	2993005	127959
959	2996014	124833
960	2998815	121700
961	3001690	118569
962	3005010	115457
963	3007445	112311
964	3010533	109190
965	3013654	106070
966	3016181	102930
967	3019763	99826
968	3023434	96724
969	3027202	93624
970	3029706	90485
971	3032357	87351
972	3035706	84238
973	3038211	81102
974	3041096	77976
975	3044540	74865
976	3047014	71731
977	3050271	68615
978	3052943	65487
979	3055881	62364
980	3059636	59259
981	3063299	56150
982	3066590	53033
983	3069113	49904
984	3072565	46790
985	3075203	43664
986	3078294	40544
987	3081006	37421
988	3083991	34301
989	3087044	31182
990	3089644	28059
991	3093022	24943
992	3095582	21821
993	3098826	18705
994	3101415	15585
995	3104521	12467
996	3107314	9349
997	3110266	6232
998	3113933	3117
999	3117555	0
